rc_sap_ref,rc_descr,units,rc_ref
VMI_DIS_NEO,Modelo de ventilador mecánico invasivo en neonatología,Descripción,10712
VMI_FIO2,Fracción inspiratoria de oxígeno en VM invasiva,%,10713
VMI_FIO2_NEO,Fracción inspiratoria de oxígeno en VM invasiva en neonatología,%,10714
VMI_FLUJO_NEO,Flujo pautado en VM invasiva en neonatología,L/min,10715
VMI_FR_ESP,Frecuencia respiratoria correspondiente a respiraciones espontáneas en VMI,resp/min,10716
VMI_FR_ESP_NEO,Frec. Resp. correspondiente a respiraciones espontáneas en VMI en neonat.,resp/min,10717
VMI_FR_PAUT_NEO,Frecuencia respiratoria pautada en VM invasiva en neonatología,resp/min,10718
VMI_FR_VENT,Frecuencia respiratoria actual en VM invasiva,resp/min,10719
VMI_FUGAS,Porcentaje de fugas respecto volumen minuto en VM invasiva,%,10720
VMI_FUGAS_NEO,Porcentaje de fugas respecto volumen minuto en VM invasiva en neonatología,%,10721
VMI_I:E,Relación tiempos inspiratorio y espiratorio en VM invasiva,Descripción,10722
VMI_I:E_NEO,Relación tiempos inspiratorio y espiratorio en VM invasiva en neonatología,Descripción,10723
VMI_MOD,Modalidad ventilatoria en VM invasiva,Descripción,10724
VMI_MOD_NEO,Modalidad ventilatoria en VM invasiva en neonatología,Descripción,10725
"VMI_P0,1",,,10893
VMI_PAUSA_INS,,,10850
VMI_PAV,Porcentaje de amplificación del esfuerzo inspiratorio (PAV),%,10726
VMI_PCTL,Presión control por encima de PEEP en VM invasiva,cm H2O,10727
VMI_PEEP,PEEP actual medida en VM invasiva,cm H2O,10728
VMI_PEEP_I,PEEP intrínseca o autoPEEP en VM invasiva,cm H2O,10729
VMI_PEEP_NEO,Presión positiva al final de espiración efectiva en VM invasiva en neonatología,cm H2O,10730
VMI_PEEP_PAUTA,PEEP pautada en VM invasiva,cm H2O,10731
VMI_PMA_NEO,Presión positiva media de vías aéreas en VM invasiva en neonatología,cm H2O,10732
VMI_PPI,Presión positiva inspiratoria pico en VM invasiva,cm H2O,10733
VMI_PPI_M_NEO,Presión positiva inspiratoria pico límite máxima en VM invasiva en neonatología,cm H2O,10734
VMI_PPI_NEO,Presión positiva inspiratoria pico pautado en VM invasiva en neonatología,cm H2O,10735
VMI_PPI_REA_NEO,Presión positiva inspiratoria pico realizada en VM invasiva en neonatología,cm H2O,10736
VMI_PPLAT,Presión positiva inspiratoria meseta en VM invasiva,cm H2O,10737
VMI_PRICO_NEO,Predictive Intelligent Control of Oxygenation en VM invasiva en neonatología,Descripción,10738
VMI_PSOP,Presión soporte/asistida por encima de PEEP en VM invasiva,cm H2O,10739
VMI_PSOP_NEO,Presión soporte/asistida por encima de PEEP en VM invasiva en neonatología,cm H2O,10740
VMI_RAMPA_INS,,,10833
VMI_RAW,Resistencia de la vía aérea en VM invasiva,cm H20/L/s,10741
VMI_RAW_I_NEO,Resistencia inspiratoria de la vía aérea en VM invasiva en neonatología,cm H20/L/s,10742
VMI_SIMV_FR_PAU,Frecuencia respiratoria pautada en modalidad SIMV,resp/min,10743
VMI_TRG_ESP,Sensibilidad del trigger espiratorio (caida de flujo respecto a máximo) en VMI,%,10744
VMI_TRG_INS,Sensibilidad del trigger inspiratorio (caida de flujo) en VM invasiva,L/min,10745
VMI_TRG_INS_NEO,Sensibilidad del trigger (caida de flujo) en VM invasiva en neonatología,L/min,10746
VMI_T_INS,Tiempo inspiratorio en VM invasiva,s,10747
VMI_T_INS_M_NEO,Tiempo inspiratorio máximo permitido en VM invasiva en neonatología,s,10748
VMI_T_INS_NEO,Tiempo inspiratorio pautado en VM invasiva en neonatología,s,10749
VMI_T_IN_ES_NEO,Tiempo inspiratorio espontáneo en VM invasiva en neonatología,s,10750
VMI_VCE,Volumen corriente espiratorio en VM invasiva,mL,10751
VMI_VCI,Volumen corriente inspiratorio real en VM invasiva,mL,10752
VMI_VCI_PAUTA,Volumen corriente inspiratorio pautado en VM invasiva,mL,10753
VMI_VC_NEO,Volumen corriente real en VM invasiva en neonatología,mL,10754
VMI_VG_PAUT_NEO,Volumen corriente garantizado pautado en VM invasiva en neonatología,mL,10755
VMI_VME_NEO,Volumen minuto espiratorio en VM invasiva en neonatología,L/min,10756
VMI_VMIN,Volumen  minuto espiratorio en VM invasiva,L/min,10757
VNI_CPAP,Presión positiva contínua en VM no invasiva,cm H2O,10758
VNI_DIS,Tipo de dispositivo de ventilación no invasiva,Descripción,10759
VNI_DIS_NEO,Tipo de dispositivo de ventilación no invasiva en neonatología,Descripción,10760
VNI_EPAP,Presión positiva espiratoria en VM no invasiva,cm H2O,10761
VNI_FIJACIO_NEO,Tipo de fijación de la interfase de ventilación no invasiva en neonatología,Descripción,10762
VNI_FIJA_TA_NEO,Tamaño de la fijación de la interfase de ventilación no invasiva en neonatología,Descripción,10763
VNI_FIO2,Fracción inspiratoria de oxígeno en VM no invasiva,%,10764
VNI_FIO2_NEO,Fracción inspiratoria de oxígeno en VM no invasiva en neonatología,%,10765
VNI_FR_ESP,Respiraciones espontáneas en VM no invasiva,resp/min,10766
VNI_FR_PAUT_NEO,Frecuencia respiratoria pautada en VM no invasiva en neonatología,resp/min,10767
VNI_FUGAS,Fugas de volumen inspiratorio en VM no invasiva,L/min,10768
VNI_INTERFACE,Tipo de mascarilla para ventilación no invasiva,Descripción,10769
VNI_INTERFA_NEO,Tipo de interfase para ventilación no invasiva en neonatología,Descripción,10770
VNI_IPAP,Presión positiva inspiratoria en VM no invasiva,cm H2O,10771
VNI_I_E_NEO,Relación tiempos inspiratorio y espiratorio en VM no invasiva en neonatología,Descripción,10772
VNI_MAP_NEO,Presión media de vía aérea en VM no invasiva en neonatología,cm H2O,10773
VNI_MOD,Modalidad ventilatoria no invasiva,Descripción,10774
VNI_MOD_NEO,Modalidad ventilatoria no invasiva en neonatología,Descripción,10775
VNI_PAS,Presión de asistida/soporte en VM no invasiva,cm H2O,10776
VNI_PEEP,Presión positiva al final de espiración en VM no invasiva,cm H2O,10777
VNI_PEEP_NEO,Presión positiva al final de espiración efectiva en VM no invasiva en neonat.,cm H2O,10778
VNI_PPI_NEO,Presión positiva inspiratoria realizada en VM no invasiva en neonatología,cm H2O,10779
VNI_PRICO_NEO,Predictive Intelligent Control of Oxygenation en VM no invasiva en neonatología,Descripción,10780
VNI_Q_NEO,Flujo en VM no invasiva en neonatología,l/min,10781
VNI_RAMPA_INS,Tiempo desde inicio respiración hasta alcanzar IPAP,s,10782
VNI_TA_INTE_NEO,Tamaño de la interfase para ventilación no invasiva en neonatología,Descripción,10783
VNI_TRG_ESP_NEO,Trigger de presión espiratoria en VM no invasiva (Fabian) en neonatología,cm H2O,10784
VNI_T_INS_NEO,Tiempo inspiratorio pautado en VM no invasiva en neonatología,s,10785
VNI_VCE,Volumen corriente espiratorio en VM no invasiva,mL,10786
VNI_VMIN,Volumen  minuto espiratorio en VM no invasiva,L/min,10787
VPP_OP,Variación de la presión de pulso estimado por onda de pulso,%,10788
VSVD_TC,Volumen sistólico ventrículo derecho,mL,10789
VS_OP,Volumen sistólico estimado por onda de pulso,mL,10790
VS_TC,Volumen sistólico por técnica transcardíaca,mL,10791
VVS_OP,Variación del volumen sistólico estimado por onda de pulso,%,10792
WEST_HAVEN,Escala de West-Haven,Puntuación,10793
WHOLEY,,,10818
