prov_ref,prov_descr
HPFA,"estudio complementario de funcion plaquetaria (pfa-200), sangre total | estudi complementari de funcio plaquetaria (pfa-200), sang total"
HPFSF,sindrome hereditario fiebre periodica (caso familiar) | sindrome hereditaria febre periodica (cas familiar)
HPFSI,sindrome hereditario fiebre periodica (caso index) | sindrome hereditaria febre periodica (cas index)
HPROL,"hidroxiprolina, plasma | hidroxiprolina,plasma"
HPSRF,"estudi de reaccions d hipersensibilitatretardada a farmacs, sang total"
HSD3F,"gen hsd3b2- mutacio concreta (cas familia), sang total"
HSD3I,"gen hsd3b2- recerca de mutacions (cas index), sang total"
HUN_GIDS_I,hun_gids_i
HVAP,"acid homovanil*lic  plasma | acid homovanil*lic,plasma"
HXCLQ,analisi d hidroxicloroquina
HYA,"acido hialuronico, suero | acid hialuronic,serum"
I1M,"""abella (i1)  serum | """"apis mellifera (i1)  serum"""""""
I208G,i208 - api m 1 abeja fosfolipasa a2
I209G,i209 - ige rves v 5 avispa
I210G,i210 - ige rpol d 5 avispa papelera
I211G,i211 - ves v 1 avispa fosfolipasa  a1
I214G,"ige rapi m 2 veri d abella, serum"
I215G,"ige rapi m 3 veri d abella, serum"
I216G,"ige rapi m 5 veri d abella, serum"
I217G,"ige rapi m 10 abella icarapina, serum"
I3M,"""vespa (vespula) (i3)  serum | """"vespul spp (i3)  serum"""""""
I4M,"""vespa (polistes) (i4)  serum | """"polistes (i4)  serum"""""""
I6M,"""escarbat (i6)  serum | """"blatella grmnica (i6)  serum"""""""
I71G,"ige i71 - mosquit comu (aedes communis), serum"
I75G,i75 - ige vespa crabro (vespa crabro)  serum
I77G,i77 - ige vespa paperera europea (polistes dominulus)  serum
IA2,"anticuerpos anti-tirosinfosfatasa (ia-2ab), suero | anticossos anti-tirosinfosfatasa (ia-2ab),serum"
IAAII,identificacio ac. irregulars  serum
ICAS,"""anticuerpos anti-islote pancreatico  suero | """"anticossos anti-illot pancreatic  serum"""" | anticossos anti-illot pancreatic  serum"""
IENDO,"""anticuerpos antiendomisio  suero | """"anticossos anti-endomisi i anti-reticulina  serum"""" | anticossos anti-endomisi  serum"""
IF001,despistatge lmmc
IFI,"""anticossos anti-citoplasma de neutrofil(ifi)  serum | """"anticossos anti-citoplasma de neutrofil (ifi)  serum"""""""
IFL2,"immunofixacio de lcr,lcr"
IFNGR,estudio de la expresion de los receptores de ifn gamma (ifngr1 / 2) | estudi de l expressio dels receptors d ifn gamma (ifngr1 / 2)
IFO2,"inmunofijacion de orina, orina | immunofixacio de orina,orina | immunofixacio de orina, orina"
IFOB,immunofixacio en orina
IFS2,"inmunofijacion de suero, suero | immunofixacio de serum,serum | immunofixacio de serum, serum"
IFT1,recompte cd4 (sp)
IFT2,estudio basico de linfocitosis (sp) | estudi basic de limfocitosi (sp)
IFT3,hpn (sp)
IFT4,estudio completo de slpc | estudi complet de slpc
IFT5,zap70 (sp)
IFT6,otros inmunofenotipos  (sp) | altres immunofenotipus   (sp)
IFT7,estudio de sangre en lmmc (sp) | estudi de sang a lmmc (sp)
IFT8,fenotipus de plasmatiques a sang  (sp)
IFT9,estudio inmunofenotipico de gammapatia igm (sp) | estudi immunofenotipic de gammapatia igm (sp)
IFTM1,estudio limfocitosi (mo) | estudi limfocitosi (mo)
IFTM2,estudio immunofenotipico de gmsi/mieloma (mo) | estudi immunofenotipic de gmsi/mieloma (mo)
IFTM3,otros inmunofenotipos (mo) | altres. immunofenotipus  (mo)
IFTM5,estudio inmunofenotipico de gammapatia igm (mo) | estudi immunofenotipic de gammapatia igm (mo)
IGADI,ac igg anti-iga + dosificacion de inmunoglobulinas | ac igg anti-iga + dosificacio d immunoglobulines
IGE,"""ige total, suero | """"ige total  serum"""" | ige total, serum"""
IGF1,"""factor de crecimiento insulin-like (igf-i), suero | """"factor de creixement """"""""insulin like"""""""" (igf-i),serum"""" | factor de creixement insulin like (igf-i), serum"""
IGF2,"""factor de creixement 2 insulin like (igf-ii),serum | """"factor de creixement 2 """"""""insulin like"""""""" (igf-ii),serum"""""""
IGFB3,"proteina transportadora 3 del factor decreixement insulinic, serum | proteina de lligat 3 de l igf (igfbp3),serum"
IGGAN,"ac igg anti-iga  suero | ac igg anti-iga, serum"
IL10,"interleucina 10 (il-10),serum"
IL10C,interleucina 10 (il-10)  liquid
IL10U,"interleucina 10 ultrasensible,serum"
IL18,"interleucina 18 (il-18),serum"
IL1B,"interleucina 1 beta (il-1-beta),serum"
IL1BC,"interleucina il1 beta  liquid | interleucina 1 beta,liquids"
IL28B,genotipacio il28b
IL2R,"receptor de interleucina 2 (il-2r), suero | receptor d interleucina 2 (il-2r),serum"
IL6,"interleucina 6 (il-6), serum | interleucina 6 (il-6),serum"
IL6C,interleucina 6 (il-6)  liquid
IL6CE,interleucina 6 (il-6)  concentrat exhalat
IL6O,"interleucina 6,orina"
IL6P,polimorfisme il6 174g/c  sang total
IL6R,"receptors d interleucina 6 (sil-6r),serum"
IL6U,interleucina 6 (il-6) ultrasensible  serum
IL8,"interleucina 8 (il-8),serum"
IL8C,interleucina 8 (il-8)  liquid
IMATI,imatinib
IMIP,"imipramina -imipramina+desipramina,serum"
INCRX,inactivacio del cromosoma x
INDINALC,"indinavir, plasma lc/ms"
INDOX,"indoxil sulfat, serum"
INDR,estudio inmunohematologico donante renal | estudi immunohematologic donador de ronyo
INF8,"inhibidor del factor viii -dosificacio,plasma"
INFG,"interferon gamma, serum"
INHA,"inhibina a, suero | inhibina a,serum"
INHB,"inhibina b, suero | inhibina b,serum"
INHDP,"inhibina a,serum (diagnostic prenatal)"
INRY,"inr -sintrom,plasma"
INSAB,"anticuerpos anti-insulina humana, suero | anticossos anti-insulina humana,serum"
INSAC,"test de hipoglucemia insulinica -acth icortisol | test de hipoglucemia insulinica -acth icortisol,"
INSGH,"test d hipoglucemia insulinica-hgh | test d hipoglucemia insulinica-hgh,"
INSLB,"insulina lliure, serum"
INTPA,"inhibidor del t-pa (pai-1) funcional  plasma | inhibidor del t-pa (pai-1) funcional,plasma"
INTVA,interpretacio de variants
IRETI,"""anticossos anti-reticulina  serum | """"anticossos anti-reticulina  serum"""""""
IRG,"glucagon, plasma | glucago,plasma | glucago, plasma"
IRRE,anticuerpos irregulares | anticossos irregulars
IRREBST,anticuerpos irregulares | anticossos irregulars
IRREM,escrutini anticossos irregulars mare
ISAC,microarray isac
ISAC36,isac36
ISAVA,isavuconazol
ISO,acidemia isovalerica (iso)
ISOFA,"isoenzimas de la fosfatasa alcalina, suero | isoenzims de la fosfatasa alcalina,serum"
ISOS,acidemia isovalerica (iso seguimiento)
ITRAA,itraconazol
IUQOL,valoracions quality of life
IUR,"iode,orina | iode,orina 24 h"
JO1,"""anticuerpos anti-jo1  suero | """"anticossos anti-jo1  serum"""" | anticossos anti-jo1  serum"""
K208G,k208- gal d 4 lisozima huevo | gal d 4 lisozim ou (k208)
K215G,k215- hev b 1 latex
K217G,k217- hev b 3 latex
K218G,k218- hev b 5 latex
K219G,k219- hev b 6.01 latex
K220G,k220- hev b 6.02 latex
K221G,k221- hev b 8 latex
K222G,k222- hev b 9 latex
K224G,k224- hev b 11 latex
K78M,"""oxid d etile (k78)  serum | """"k78 oxid  d  etile (k78)  serum"""""""
K82G,"""latex (k82)  suero | """"k82 latex (k82)  serum"""" | latex (k82)  serum"""
K84G,k84 - ige semillas de girasol  suero | llavor de girasol (k84)
K87M,"""alfa-amilasa (k87)  serum | """"k87 alfa-amilasa (k87)  serum"""""""
KCNJ,gen kcnj11
KETAM,"ketamina, orina"
KETOA,ketoconazol
KIRTP,"tipaje kir, sangre"
KL6,kl-6 (krebs von den lungen 6)
KLEIY,"kleinhauer,sang total"
KPGFP,"6-ceto-prostaglandina f1a (6kpgf1a),plasma"
KPGOR,"6-ceto-prostaglandina f1a (6kpgf1a),orina"
KPLMA,"cadenas pesadas igm kappa, suero | cadenes pesades igm kappa, serum"
KRAS,"gen k-ras, tejido | gen k-ras,teixit"
KRASS,"k-ras, sang total"
LABET,labetolol
LADS,"estudi del deficit de molecules d adhesio leucocitaries, sang total"
LAMOT,"lamotrigina,serum"
LC,cariotip en liquid amniotic
LDHE,lactic deshidrogenasa eritrocitaria (ldh)  sang total
LDHESH,ldhesh
LDLC,"colesterol ldl,"
LEAGAL,"alfa-galactosidasa a, leucocits"
LEAGU,"aspartilglucosaminidasa, leucocits"
LEARSA,"arilsulfatasa a, leucocits"
LEECH,leech
LEGALACTO,"galactocerebrosidasa, leucocits"
LEGLUCO,"beta-glucocerebrosidasa, leucocits"
LEID,"factor v leiden -mutacion  sangre total | factor v leiden -mutacio,sang total | factor v leiden -mutacio  sang total"
LELIPOLEAT,"oleat lipasa, leucocits"
LELIPPALM,"palmitato lipasa, leucocits"
LEMS,"anticossos anti-canals de calci (lems),serum"
LEPTI,"leptina,serum"
LESM,"esfingomielinasa, leucocits"
LEVET,"levetiracetam, suero | levetiracetam, serum"
LF15,fish prader willi/angelman en liquid aminiotic
LF22,fish catch 22 en liquid amniotic
LFAGLU,"alfa-1,4-glucosidasa, limfocits"
LFMS,fish multisonda en liquid amniotic
LFSU,fish sonda unica en liquid amniotic
LFY,fish gen sry en liquid amniotic
LIEBD,"linfograma intraepitelial, biopsia duodenal"
LIGMN,"estudio de ligamento | estudi lligament, | estudi de lligament"
LINELC,"linezolid, plasma lc/ms/ms"
LINEZ,linezolid  sang total
LINFP,recompte de limfocits del producte
LIPIN,lipofuscinosi neuronal ceroidea cln1 (cas index)
LIPIN2,lipofuscinosi neuronal ceroidea cln2 (cas index)
LIPIN3,lipofuscinosi neuronal ceroidea cln3 (cas index)
LIPIN8,lipofuscinosi neuronal ceroidea cln8 (cas index)
LIPOX,lipoxip
LIPOXF,"hipercolesterolemia familiar (caso familiar), sangre total | hipercolesterolemia familiar (cas familiar), sang total"
LIPOXI,"hipercolesterolemia familiar (caso index), sangre total | hipercolesterolemia familiar (cas index), sang total"
LISOESF,lisoesfingolipids en plasma
LITI,"liti, serum | liti,serum"
LOPI,"lopinavir, plasma lc/ms"
LPLGA,"cadenas pesadas iga lambda, suero | cadenes pesades iga lambda, serum"
LPLMA,"cadenas pesadas igm lambda, suero | cadenes pesades igm lambda, serum"
LQPA1,citomorfologia  liquids biologics i puncio aspirativa
LQPA2,immunofenotipus altres liquis biologics(no lcr) i puncio aspirativa
LQPA3,biologia molecular  liquids biologics ipuncio aspirativa
LQPA4,altres  liquids biologics i puncio aspirativa
LQPA5,citogenetica  liquidos biologicos y puncion aspirativa | citogenetica  liquids biologics i puncio aspirativa
LQPA6,gnaskras lesiones quisticas por pcr digital | gnaskras lesions quistiques per pcr digital
LQPA7,immunofenotipus  lcr
LSFSS,lisoesfingolipids en sang seca
LSGAU,"estudi enzimatic malaltia de gaucher, leucocits i serum"
LTA,linfocitos t alogenicos
LTAI,linfocitos t alogenicos
M1M,"""penicillium notatum (m1)  suero | """"m1 penicul.notatum (m1)  serum"""" | penicillium notatum (m1)  serum"""
M2,"""anticuerpos anti-mitocondriales m2  suero | """"anticossos anti-mitocondrials m2  serum"""" | anticossos anti-mitocondrials m2  serum"""
M205M,"""trichophyton rubrum (m205)  serum | """"m205  serum"""""""
M223G,ige staph. enterotoxin c  serum
M224G,ige staphylococcal enterotoxin d  serum
M226G,ige staph. enterotoxin tsst   serum
M229G,m229 - alt a 1 alternaria alternata  serum
M235T,"polimorfisme m235t del gen agt | gen agt -polimorfisme m235t,sang total"
M2G,"""cladosporium herbarum (m2)  suero | """"m2 cladospo.herba. (m2)  serum"""" | cladosporium herbarum (m2)  serum"""
M3G,"""aspergillus fumigatus (m3)  suero | """"m3 asperg.fumigat. (m3)  serum"""" | aspergillus fumigatus (m3)  serum"""
M4G,"""mucor racemosus (m4)  serum | """"m4 mucor racemosus (m4)  serum"""""""
M5G,"""candida albicans (m5)  suero | """"m5 candida albicans (m5)  serum"""" | candida albicans (m5)  serum"""
M6G,"""alternaria alternata (m6)  suero | """"m6 alternaria altern (m6)  serum"""" | alternaria alternata (m6)  serum"""
M80G,ige staph. enterotoxin a  serum
M80NELC,"m8-nelfinavir, plasma lc/ms"
M81G,ige staph. enterotoxin b  serum
MACADVL,gen acadvl-mutaciones familiares (deficiencia de vlcad).
MACADVLS,"gen acadvl - mutacions familiars, sang total"
MAGL,"anticossos anti-mag, lcr  (dot-blot)"
MAGS,"anticuerpos anti-mag (igm), suero | anticossos anti-mag (igm), serum"
MANGO,"manganes, orina | manganes,orina"
MANGS,"manganeso, suero | manganes,serum | manganes, serum"
MANGT,"manganes, sang total"
MAPRO,"maprotilina,serum"
MAPT,"deteccion de mutaciones en el gen tau (cas index) (gen mapt), sangre total | deteccio de mutacions en el gen tau (cas index) (gen mapt), sang total"
MAPTF,"deteccio de mutacions en el gen tau (cas familiar), sang total"
MARA,"maraviroc, plasma lc/ms"
MASP2G,genotipificacio de masp2
MB,"""mbg: anticuerpos anti-membrana basal glomerular, suero | """"anticossos anti-membrana basal glomerular  serum"""" | mbg: anticossos anti-membrana basal glomerular  serum"""
MBAL,mini bal. estudi quantitatiu de bacteris i fongs.
MBAN,"""anticossos anti-citoplasma de neutrofili antimembrana basal glomerular (screeni | """"anticossos anti-citoplasma de neutrofil i antimembrana basal glomerular (screen"""
MBLG,genotipificacio gen mbl2
MBLS,mbl serica
MCIT,control d  acid metilcitric i 3-hidroxipropionic en orina
MCP1,"mcp-1,serum"
MCP1O,"mcp1, orina"
MCPRL,"macroprolactina, suero | macroprolactina,serum"
MCPT2D,"gen cpt2-mutacions familiars (deficiencia carnitina palmitoil transferasa 2), dn"
MCPT2S,"gen cpt2-mutacions familiars (deficiencia carnitina palmitoil transferasa 2), sa"
MCRM,"complexos de la cadena respiratoria mitocondrial (m. mitocondrials), muscul"
MCTN,"gen ctns-mutacions familiars (cistinosis), sang total"
MCTN_INT,mctn_int
MDA,"malondialdehid,serum"
MDALD,"malondialdehid -fraccio ldl,serum"
MEGA,"megatest,"
MEMA,control d acid metilmalonic en orina
MEMA-HCYS,acidemia metilmalonica con homocistinuria (mema-hcys inicial)
MEN1F,"neoplasia endocrina multiple tipus1 (cas familiar) | gen de la men 1 -cas familiar,sang total"
MEN1I,"neoplasia endocrina multiple tipus 1 (cas index) | gen de la men 1 -cas index,sang total"
MEN2F,"neoplasia endocrina multiple tipus2 (cas familiar) | gen de la men 2a -cas familiar,sang total"
MEN2I,"neoplasia endocrina multiple tipus 2 (cas index) | gen de la men 2a -cas index,sang total"
MERCO,"mercuri, orina | mercuri,orina"
MERCS,"mercuri,sang total"
MEROE,"meropenem, suero lc/ms/ms | meropenem, serum lc/ms/ms"
MEROP,meropenem
MEROR,"mercuri, orina"
MERSE,"mercurio, sangre | mercuri, sang"
MET04,"metotrexat, 4h post inici"
MET08,"metotrexat, 8h post inici"
MET18,"metotrexat, 18h post inici"
MET24,"metotrexat, 24h post inici"
MET42,"metotrexat, 42h post inici"
METAC,"metadona confirmacio, orina | metadona -confirmacio per hplc,orina"
METAN,"metamfetamina, orina"
METFDHD,"gen etfdh-mutacions familiars (deficiencia multiple de deshidrogenases - mad), d"
METFDHS,"gen etfdh-mutacions familiars (deficiencia multiple de deshidrogenases - mad), s"
METIM,determinacio d acid metilmalonic en plasma mitjancant espectrometria de masses e
METIS,"metanol,serum"
METLF,"metilfenidat, orina"
METQU,"analisi quantitatiu de metadona, plasma"
MF189956,neuroestimulador externo inhalambrico
MFBRD,"gen gla - mutacions familiars (m. fabry), dna"
MFBRS,"gen gla - mutacions familiars (m. fabry), sang total"
MFBRSS,"gen gla - mutacions familiars (e. fabry), sang seca"
MFBR_INT,mfbr_int
MFQ183663,"cat balon atp otw semi 1,5x40mm 14 16at"
MFQ183665,"cat balon atp otw semi 2,5x150mm 14 16a"
MFQ183666,"cat balon atp otw semi 3,5x150mm 14 16a"
MFQ183667,cat balon atp otw semid 3x150mm 14 16at
MFQ183715,cat balon atp otw semid 10x40mm 35 13at
MFQ183718,cat balon atp otw semid 12x40mm 35 13at
MFQ183720,cat balon atp otw semid 5x150mm 35 16at
MFQ183721,cat balon atp otw semid 5x40mm 140cm 35
MFQ183722,cat balon atp otw semid 5x40mm 80cm 35
MFQ183724,cat balon atp otw semid 6x40mm 140cm 35
MFQ183725,cat balon atp otw semid 6x40mm 35 16at
MFQ183726,cat balon atp otw semid 6x60mm 35
MFQ183727,cat balon atp otw semid 7x40mm 35 16at
MFQ183728,cat balon atp otw semid 7x80mm 35
MFQ183729,cat balon atp otw semid 8x40mm 35
MFQ183730,cat balon atp otw semid 8x60mm 35 16at
MFQ183815,"cat balon atp pacli otw 2,5x200 16at150c"
MFQ183816,cat balon atp pacli otw 3x120 16at 100cm
MFQ183820,cat balon atp pacli otw 3x80 16at 150cm
MFQ183821,cat balon atp pacli otw 4x40 16at 100cm
MFQ183823,cat balon atp pacli otw 4x80 16at 100cm
MFQ183825,cat balon atp pacli otw 5x150 16at 80cm
MFQ183826,cat balon atp pacli otw 5x80 16at 80cm
MFQ183827,cat balon atp pacli otw 6x120 16at 80cm
MFQ183828,cat balon atp pacli otw 6x150 16at 80cm
MFQ183829,cat balon atp pacli otw 6x80 16at 80cm
MFQ183830,cat balon atp pacli otw 7x80 16at 80cm
MFQ183832,"cat balon atp pacli otw2,5x200 16at100cm"
MFQ183833,"cat balon atp pacli otw2,5x80 16at 100c"
MFQ183835,"cat balon atp pacli otw3,5x80 16at 100cm"
MFQ183850,balon farmaco periferico
MFQ183852,balon farmaco periferico
MFQ183853,balon farmaco periferico
MFQ183861,balon farmaco periferico
MFQ184156,"""cat balon atp otw 8x20mm 0,035"""" 135cm"""
MFQ185729,electrodo profundo de 10 contactos
MFQ185730,electrodo profundo de 12 contactos
MFQ185731,electrodo profundo de 15 contactos
MFQ185732,electrodo profundo de 18 contactos
MFQ185733,electrodo profundo de 5 contactos
MFQ185734,electrodo profundo de 8 contactos
MFQ185736,cable reus.para electrodo prof 12contact
MFQ185738,cable reus.para electrodo prof 15contact
MFQ185740,cable reus.para electrodo prof 18contact
MFQ185743,cable reus.para electrodo prof 8 contact
MFQ185897,tornillo de fijacion de 15mm
MFQ185898,tornillo de fijacion de 20mm
MFQ185899,tornillo de fijacion de 25mm
MFQ185900,tornillo de fijacion de 30mm
MFQ185901,tornillo de fijacion de 35mm
MFQ185903,broca perforacion c/rosca seguridad
MFQ185904,electrodo coagulador punta fina
MFQ185905,estilete implantacion platino
MFQ186378,cabezal fresado intramedular riao13mm
MFQ186392,"aguja kirschner 2,5mmx280mm"
MFQ186394,"aguja kirschner 1,6mmx150mm"
MFQ186399,"aguja-guia tunelizacion osea 2,4mmx30cm"
MFQ186402,kit acceso pediculo 2ag. canulas+trocar
MFQ186413,canula cementacion c/restrictor o5mm
MFQ186421,"adaptador tornillo fenestr. 4,75/5,5-6mm"
MFQ186449,introductor dinamometrico p/codo
MFQ186459,"pin medidor punta broca 2,4mmx44,5cm"
MFQ186462,vaina protec insercion suprapatelar o12
MFQ186499,broca canulada fijacion lca/lcp 5mm
MFQ186515,set sutura menisco instrumental+fungible
MFQ186516,"aguja p/pinza pasadora sutura 23,6cm"
MFQ186528,aguja-guia tunelizacion osea 11mmx35cm
MFQ186529,"hoja bisturi artroscopia o2,97mmx27,9cm"
MFQ186530,kit artroscopia guias+varillas
MFQ186531,kit guias+agujas artroscopia cadera
MFQ186560,guia condilo personalizado
MFQ186561,guia corte cirugia ortognatica mand dcha
MFQ186562,guia corte cirugia ortognatica mand izq
MFQ186563,guia corte cirugia ortognatica maxilar
MFQ186564,guia corte cresta iliaca poliamida
MFQ186566,guia corte man/max perone/cresta iliaca
MFQ186567,guia corte mandibula derecha poliamida
MFQ186568,guia corte mandibula izquierda poliamida
MFQ186569,guia corte maxilar derecha poliamida
MFQ186570,guia corte maxilar izquierda poliamida
MFQ186571,guia corte perone poliamida
MFQ186572,guia corte perone-implantes poliamida
MFQ186573,guia p/guiado fresas poliamida
MFQ186574,guia quirurgica implantes poliamida
MFQ186575,modelo impreso boveda craneo poliamida
MFQ186578,modelo impreso mandibula paciente poli.
MFQ186579,modelo impreso mandibula poliamida
MFQ186580,modelo impreso mandibula reconstr poli.
MFQ186581,modelo impreso mandibula simulada poli.
MFQ186584,modelo impreso maxilar paciente poli.
MFQ186586,modelo impreso maxilar poliamida
MFQ186588,modelo impreso maxilar simulada poli.
MFQ186589,modelo impreso tercio medio poliamida
MFQ186608,planificacion virtual cirugia ortognatic
MFQ187436,modelo implante para dar volumen
MFQ187468,balon farmaco periferico
MFQ187469,balon farmaco periferico
MFQ187470,balon farmaco periferico
MFQ187935,cabezal fresado intramedular riao12mm
MFQ187936,"cabezal fresado intramedular riao12,5mm"
MFQ187937,"cabezal fresado intramedular riao13,5mm"
MFQ188451,cat balon atp otw semid 5x80mm 140cm 35
MFQ188783,cat balon atp rx baja dist 2x120mm 170cm
MFQ189053,"aguja p/pinza pasadora sutura 23,2cm"
MFQ189056,kit canulas cementacion tfna
MFQ189583,broca anclaje sutura artroscopica 6mm
MFQ189585,broca anclaje sutura artroscopica 7mm
MFQ189586,"broca anclaje sutura artroscopica 7,5mm"
MFQ189587,broca anclaje sutura artroscopica 8mm
MFQ189588,"broca anclaje sutura artroscopica 8,5mm"
MFQ189589,broca anclaje sutura artroscopica 9mm
MFQ189590,"broca anclaje sutura artroscopica 9,5mm"
MFQ189591,broca anclaje sutura artroscopica 10mm
MFQ189592,"broca anclaje sutura artroscopica 10,5mm"
MFQ189593,broca anclaje sutura artroscopica 11mm
MFQ189956,neuroestimulador externo inhalambrico
MFQ190971,balon farmaco periferico
MFQ191074,"aguja kirschner 2,0mmx150mm"
MFQ191562,procesador oido izquierdo 45db hl marron
MFQ191583,procesador oido derecho 55db hl marron
MFQ191603,procesador oido derecho 65db hl marron
MFQ191614,procesador oido izquierdo 65db hl gris
MFQ191754,procesador oido cochlear 55db cobre
MFQ191877,kit jeringas cementacion tfna
MFQ192505,pasador sutura artroscop alambre c/ojal
MFQ192508,pasador sutura c/lazo recto 90o
MFQ192684,kit retraccion gancho prot.peneana
MFQ193975,dispositivo pasador sutura precargado
MFQ193982,set hemicanula+cortador sutura menisco
MFQ193983,opia o8mmx2cm
MFQ193988,pasador sutura c/lazo recto
MFQ193989,pasador sutura c/lazo curva 70o
MFQ194094,planificacion virtual cirugia orbitaria
MFQ194096,kit fijacion acromioclavicular
MFQ194327,guia onda iluminacion campo quirurgico
MFQ194490,cat balon atp otw semid 2x40mm 14 16at
MFQ194511,"cat balon atp otw semi 2,5x80mm 14 16at"
MFQ194512,cat balon atp otw semid 2x120mm 14 16at
MFQ194513,cat balon atp otw semid 2x80mm 14 16at
MFQ194830,cat balon atp otw semid 9x20mm 140cm 35
MFQ194967,bateria litio 6v p/atornillador power
MFQ195240,cat balon atp rx baja dist 4x40mm 80cm
MFQ195380,modelo impreso anatomico dicom
MFQ196549,cat balon atp otw semi 5x150mm 140cm 35
MFQ196550,cat balon atp otw semid 6x80mm 140cm 35
MFQ196561,cat balon atp pacli otw 4x80 16at 150cm
MFQ196562,cat balon atp pacli otw 4x120 16at 150c
MFQ196563,cat balon atp pacli otw 5x80 16at 140cm
MFQ196564,cat balon atp pacli otw 5x120 16at 140c
MFQ196566,cat balon atp pacli otw 6x80 16at 140cm
MFQ196567,cat balon atp pacli otw 6x120 16at 140c
MFQ196568,cat balon atp pacli otw 6x150 16at 140c
MFQ196569,cat balon atp otw semid 4x80mm 14 16at
MFQ196570,cat balon atp otw semid 4x120mm 14 16at
MFQ196581,cat balon atp otw semi 5x120mm 140cm 35
MFQ196592,cat balon atp otw semi 6x150mm 140cm 35
MFQ197594,dispositivo pasador sutura precarg mini
MFQ198229,planificacion virtual implante personal.
MFQ199776,sonda litotricia calculos biliares 375cm
MFQ200345,"pin artrodesis tobillo 1,6x15mm"
MFQ200373,guia corte mandibula izq/der poliamida
MFQ200374,set canulas+empujador/cort sut men recto
MFQ200375,"broca retrograda 7,5mm desechable"
MFQ200713,planificacion virtual cirugia rec. guias
MFQ200902,anillo symblepharon o22mm
MFQ201179,"aguja-guia tunelizacion osea2,4mmx23cm"
MFQ201180,"aguja-guia ligamentos 0,8mmx356mm est"
MFQ201346,"aguja-guia tunelizacion osea2,4mmx35,6cm"
MFQ202320,planificacion virtual cirugia rec.max/ma
MFQ202955,cat balon atp otw semid 3x120mm 14 16at
MFQ203154,kit pistola introductora stimulan
MFQ203164,cat balon atp pacli otw 3x200 16at 150c
MFQ203556,"aguja kirschner 1,1mmx150mm"
MFQ203557,"aguja kirschner 1,1mmx150mm rosca"
MFQ203558,"aguja kirschner 1,25mmx150mm rosca"
MFQ203559,"aguja kirschner 1,25mmx150mm"
MFQ203560,"aguja kirschner 1,8mmx200mm"
MFQ203571,"aguja kirschner 1,8mmx200mm rosca"
MFQ203657,"aguja kirschner 1,25mmx150mm"
MFQ203994,planificacion cirugia panfacial
MFQ204009,kit instrumentos osteosintesis cotton
MFQ204010,kit instrumentos osteosintesis evans
MFQ204634,cat balon atp otw semid 9x60mm 140cm 35
MFQ204635,cat balon atp otw semid 8x80mm 35 16at
MFQ204636,cat balon atp pacli otw 2x200 16at 150cm
MFQ204637,"cat balon atp pacli otw 2,5x150 16at150c"
MFQ204639,cat balon atp pacli otw 4x40 16at 150cm
MFQ204640,cat balon atp pacli otw 5x40 16at 140cm
MFQ204684,kit reconstruccion ligamento colateral
MFQ204941,"aguja-guia tunelizacion osea1,2mmx23cm"
MFQ204942,instrumento reconstruccion lig.cruzado
MFQ204948,broca retrograda 8mm desechable
MFQ205154,kit mezclador cemento oseo automatico
MFQ205239,"broca retrograda 10,5mm desechable"
MFQ205335,"cateter digital diagnostico 10,5fr 65cm"
MFQ205962,procesador oido bidirec 55db rubio 6max
MFQ205963,procesador oido bidirec 55db negro 6max
MFQ205964,procesador oido cochlear 55db gris 6max
MFQ205965,procesador oido bidirec 55db casta 6max
MFQ205988,osteo pin 2.2 l200 mm
MFQ206155,pano camara navegador cadera naviswiss
MFQ206156,set marcadores navegador caderanaviswiss
MFQ206462,kit transferencia autoinjerto 10mm
MFQ206668,pin marcador plano monitor robot navio
MFQ206669,funda monitor robot navio
MFQ206803,punta destornillador extrac.tornillo
MFQ206804,"aguja kirschner 1,8mmx150mm redonda"
MFQ206805,"aguja kirschner 1,8mmx280mm redonda"
MFQ206901,kit instrumentos implante tornillo 4mm
MFQ206907,canula guia percutanea
MFQ206969,pasador sutura artroscopia lca/lcp
MFQ206970,"broca anclaje rapido sutura 8mm 17,8cm"
MFQ206971,"broca anclaje rapido sutura 9mm 17,8cm"
MFQ207157,canula fina inyeccion cemento oseo 7mm
MFQ207174,kit extraccion huesos sistema ria 2
MFQ207175,cabezal fresado intramedular riao14mm
MFQ207176,"guia fresado ria o2,5mmx950mm"
MFQ207222,set tubos robot cori
MFQ207226,fresa cilindrica robot cori 5mm
MFQ207227,fresa cilindrica robot cori 6mm
MFQ207289,"broca anclaje rapido sutura 5mm 17,8cm"
MFQ207309,"pin ojal milimetrado 3,5mm"
MFQ207313,"broca anclaje rapido sutura 7mm 17,8cm"
MFQ207314,"broca anclaje rapido sutura 7,5mm 17,8cm"
MFQ207315,"broca anclaje rapido sutura 8,5mm 17,8cm"
MFQ207316,"broca anclaje rapido sutura 9,5mm 17,8cm"
MFQ207317,"broca anclaje rapido sutura 10mm 17,8cm"
MFQ207318,"broca anclaje rapido sutura 10,5mm17,8cm"
MFQ207611,kit hidrogel bioreabsorbible 5ml
MFQ207689,"aguja fijacion placas o1,57x51mm"
MFQ208254,planificacion cirugia ortognatic ti
MFQ208255,guia corte cirugia ortognatica max dcho
MFQ208295,procesador oido bidirec 80db negro
MFQ208296,procesador oido bidirec 80db marron
MFQ208299,procesador oido bidirec 80db gris
MFQ208331,procesador oido bidirec negro-platino
