lab_sap_ref,lab_descr,units,lab_ref
LABHAR0,"Agente agregante Ristocetina 0,8",%,2138
LABHAR1,Agente agregante Ristocetina 1 m,%,2139
LABHAU1,"Agente agregante U-46619 1,2 µM",%,2140
LABHBAC,"Hemoglobina, sang total calota",g/dl,4564
LABHBAN1,"Hemoglobina, sang arterial",N.D.,2141
LABHBAN2,"Hemoglobina, sang arterial",N.D.,2142
LABHBAN3,"Hemoglobina, sang arterial",N.D.,2143
LABHBCA,"Hemoglobina, sang capil·lar",N.D.,2144
LABHBCAN1,"Hemoglobina, sang capilar",N.D.,2145
LABHBCRAG,HBcrAg (Hepatits B CORE-Relate,N.D.,2146
LABHBSAQ,"Hepatitis B, Ag superfície qua",N.D.,2147
LABHBSC,Hemoglobina sang de cordó,g/L,5052
LABHBST,Hemoglobina sangre,g/dl,2148
LABHBTSAP,"Hemoglobina total, sang arteri",N.D.,2149
LABHBTSVP,"Hemoglobina total, sang venosa",N.D.,2150
LABHBV,"Hemoglobina, venós",N.D.,2151
LABHBVN1,"Hemoglobina, sang venosa",N.D.,2152
LABHBVN2,"Hemoglobina, sang venosa",N.D.,2153
LABHBVN3,"Hemoglobina, sang venosa",N.D.,2154
LABHCMSC,HCM(Hb eritroc. mitja)sang de,pg,5053
LABHCTOC,"Hematòcrit, sang total calota",%,4565
LABHCTOCN1,"Hematòcrit, sang capilar",N.D.,2155
LABHCTOSC,Hematocrito sangre,%,2156
LABHCTOSN1,"Hematòcrit, sang arterial",N.D.,2157
LABHCTOSN2,"Hematòcrit, sang arterial",N.D.,2158
LABHCTOSN3,"Hematòcrit, sang arterial",N.D.,2159
LABHCTOST,"Hematòcrit, sang arterial",N.D.,2160
LABHCTOV,"Hematòcrit, venós",N.D.,2161
LABHCTOVN1,"Hematòcrit, sang venosa",N.D.,2162
LABHCTOVN2,"Hematòcrit, sang venosa",N.D.,2163
LABHCTOVN3,"Hematòcrit, sang venosa",N.D.,2164
LABHD,"Hematies dismòrfics, orina",%,2165
LABHDE,Ac IgG anti-virus de lhepatit,N.D.,4566
LABHE4,"HE4,sèrum",N.D.,2166
LABHEMOB,"Eritròcits,orina",N.D.,2167
LABHEMSC,Hematies sang de cordó,10^12/L,5054
LABHEP,"Actividad anti-Xa (Heparina), pl",U/mL,2168
LABHEP3,"Heptaporfirina III,orina",N.D.,2169
LABHEPAS,Heparan sulfat,N.D.,2170
LABHEPF,"Heptaporfirina III,femta",nmol/g f.s.,4567
LABHEPFP,Heptaporfirina,N.D.,2171
LABHEPS,"Heptaporfirina III,  plasma",N.D.,2172
LABHEROI,Heroïna / 6-MAM,N.D.,2173
LABHEX3,"Hexaporfirina III,orina",N.D.,2174
LABHEX3F,"Hexaporfirina III,femta",nmol/g f.s.,4568
LABHEX3FP,Hexaporfirina,N.D.,2175
LABHG1,Hemoglobina glicada sangre total,%,2176
LABHG2,Hemoglobina glicada NGPS DCCT,%,2177
LABHG3,Hemoglobina glicada IFCC,mmol/mol,2178
LABHGH,"Hormona de creixement (hGH),sè",N.D.,2179
LABHGH120,Hormona del creixement (HGH) 1,N.D.,2180
LABHGH180,Hormona del creixement (HGH) 1,N.D.,2181
LABHGH240,Hormona del creixement (HGH) 2,N.D.,4569
LABHGH30,Hormona del creixement (HGH) 3,N.D.,2182
LABHGH300,Hormona del creixement (HGH) 3,N.D.,4570
LABHGH360,Hormona del creixement (HGH) 3,N.D.,4571
LABHGH420,Hormona del creixement (HGH) 4,N.D.,4572
LABHGH45,Hormona del creixement (HGH) 4,N.D.,2183
LABHGH480,Hormona del creixement (HGH) 4,N.D.,4573
LABHGH60,Hormona del creixement (HGH) 6,N.D.,2184
LABHGH80,Hormona del creixement (HGH) 8,ng/mL,4574
LABHGH90,Hormona del creixement (HGH) 9,N.D.,2185
LABHGHB,Hormona del creixement (HGH) b,N.D.,2186
LABHGHE,Hormona del creixement (HGH) e,ng/mL,4575
LABHGHPE,Hormona del creixement (HGH) p,N.D.,2187
LABHIALP,"Ácido hialurónico, líquido pleur",N.D.,2188
LABHICRE,"Hipocretina-1, LCR",pg/mL,4576
LABHIDRA,HidroxiItraconazol,N.D.,2189
LABHIPEC,Estudio completo de hiperfibrino,N.D.,2190
LABHIPOC,Hematias hipocromas %,%,2191
LABHISOO,Fosfoetanolamina orina,N.D.,2192
LABHIST,"Anticuerpos antihistonal, sérum",U/mL,2193
LABHISTO,Ac IgM dHistoplasma capsulatu,N.D.,4577
LABHKER,"Hexocinasa, sang total",N.D.,2194
LABHLA-2,Anti HLA - II ( Cribaje Fase Sol,N.D.,2195
LABHLA1,Anti HLA - I ( Cribaje Fase Soli,N.D.,2196
LABHLA4,"ENF.: B27 (Espondiloartritis, Sa",N.D.,2197
LABHLA7,,N.D.,2198
LABHLA8,Estudio HLA Artritis Reumatoide,N.D.,2199
LABHLAAHR,HLA-A(HR),N.D.,2200
LABHLABHR,HLA-B(HR),N.D.,2201
LABHLACHR,HLA-C(HR),N.D.,2202
LABHLAT,Tècnica HLA,N.D.,2203
LABHMACR,Macrocitos,%,2204
LABHMCAP,Micropartículas procoagulantes,N.D.,4578
LABHMGCR,"Acs IgG anti-HMGCR, sérum",U/mL,2205
LABHMIC,Microcitos,%,2206
LABHNF4,GEN HNF4A,N.D.,4579
LABHNFB,GEN HNF1B,N.D.,2207
LABHNPP,Neuropatia perifèrica sensible,N.D.,2208
LABHOLOS,"Holotranscobalamina, sèrum",N.D.,2209
LABHOMO,Homocitrulina sèrum,N.D.,2210
LABHOMOO,Homocitrulina orina,N.D.,2211
LABHPFA1,PFA Colàgen/Epinefrina,N.D.,2212
LABHPFA2,PFA Colàgen/ADP,N.D.,2213
LABHPFSF,"Síndrome febre periòdica, cas",N.D.,2214
LABHPFSI,"Síndrome de febre periòdica, c",N.D.,2215
LABHPNSFAI,Interpretació,N.D.,2216
LABHPSRF,Estudio HPS retardada fármaco,N.D.,2217
LABHPTI,"Hipertensió pulmonar familiar,",N.D.,2218
LABHSD3F,Gen HSD3B2- mutació concreta (,N.D.,4580
LABHSD3I,"HSD3B2 mutacions (cas índex),",N.D.,2219
LABHTSAP,"Hematòcrit, sang arterial",N.D.,2220
LABHTSC,Hematòcrit sang de cordó,L/L,5055
LABHTSVP,"Hematòcrit, sang venosa",N.D.,2221
LABHUL,Anticuerpos anti-Hu (Blot),N.D.,2222
LABHUS,Anticuerpos anti-Hu (Blot),N.D.,2223
LABHVAP,"Àcid homovaníl.lic,plasma",N.D.,2224
LABHXCLQ,Anàlisi dhidroxicloroquina,ng/mL,5090
LABHYACH,"Ácido hialurónico, sérum",µg/L,2225
LABHYAFC,"Àcid hialurònic, sèrum",µg/L,4581
LABHYP,Fosfoserina orina,N.D.,2226
LABI1I,IgE Abella (i1)-cl.,N.D.,2228
LABI1II,IgE Abella (i1)-conc.,N.D.,2229
LABI208I,IgE Api m 1 abeja fosfolipA2(i,N.D.,2230
LABI208II,IgE Api m 1 abeja fosfolipA2(i,N.D.,2231
LABI209I,IgE Ves v 5 avispa(i209)-cl.,N.D.,2232
LABI209II,IgE Ves v 5 avispa(i209)-conc.,N.D.,2233
LABI210I,IgE Pol d 5 Avispa papelera(i2,N.D.,2234
LABI210II,IgE Pol d 5 Avispa papelera(i2,N.D.,2235
LABI211I,IgE Ves v 1 avisp fosfolipA1(i,N.D.,2236
LABI211II,IgE Ves v 1 avisp fosfolipA1(i,N.D.,2237
LABI214I,"IgE rApi m 2 verí dabella, sè",N.D.,2238
LABI214II,"IgE rApi m 2 verí dabella, sè",N.D.,2239
LABI215I,"IgE rApi m 3 verí dabella, sè",N.D.,2240
LABI215II,"IgE rApi m 3 verí dabella, sè",N.D.,2241
LABI216I,"IgE rApi m 5 verí dabella, sè",N.D.,2242
LABI216II,"IgE rApi m 5 verí dabella, sè",N.D.,2243
LABI217I,IgE rApi m 10 abella Icarapina,N.D.,2244
LABI217II,IgE rApi m 10 abella Icarapina,N.D.,2245
LABI3I,IgE Vespa (vespula) (i3)-cl.,N.D.,2246
LABI3II,IgE Vespa (vespula) (i3)-conc.,N.D.,2247
LABI4I,IgE Vespa (Polistes) (i4)-cl.,N.D.,2248
LABI4II,IgE Vespa (Polistes) (i4)-conc,N.D.,2249
LABI71I,IgE i71 - Mosquit comú (Aedes,N.D.,2250
LABI71II,IgE i71 - Mosquit comú (Aedes,N.D.,2251
LABI75I,i75 - IgE vespa crabro (Vespa,N.D.,2252
LABI75II,i75 - IgE vespa crabro (Vespa,N.D.,2253
LABI77I,i77 - IgE vespa paperera europ,N.D.,2254
LABI77II,i77 - IgE vespa paperera europ,N.D.,2255
LABIA2,Anticuerpos anti-tirosinfosfatas,U/mL,2256
LABIAAII,"Identificació ac. irregulars,",N.D.,2257
LABIAD2B,Anticossos anti-tirosínfosfata,U/mL,4582
LABIAGLIA,IgA antigliadina,N.D.,2258
LABICAS,Anticuerpos antiillot pancreátic,N.D.,2259
LABICOROM,"Index Cortisol/Cortisona, orin",N.D.,2260
LABIE1MG,Nº Spots Antigen IE1 CMV,N.D.,2261
LABIFI,Anticuerpos anticitoplasma de ne,N.D.,2262
LABIFNGR,Expresión de los receptores IFNg,N.D.,2263
LABIFOB,Immunofixació en orina,N.D.,2264
LABIGAGOT,Interpretació,N.D.,2265
LABIGE,IGE total serum,kU/L,2266
LABIGF1,"""""""Factor de crecimiento """"""""insulin""",ng/mL,2267
LABIGF1FC,Factor de creixement insulin l,ng/mL,4583
LABIGF2,"""""""Factor de crecimiento """"""""insulin""",ng/mL,2268
LABIGFB1,Proteïna de ligado 1 de la IGF (,N.D.,2269
LABIGFB3,Proteïna de ligado 3 de la IGF (,µg/mL,2270
LABIGG1EXT,Immunoglobulina IgG1 en sérum,N.D.,2271
LABIGG2EXT,Immunoglobulina IgG2 en sérum,mg/dL,2272
LABIGG3EXT,Immunoglobulina IgG3 en sérum,mg/dL,2273
LABIGG4EXT,Immunoglobulina IgG4 en sérum,N.D.,2274
LABIGGAN,"Ac IgG anti IgA, sérum",U/ml,2275
LABIHQGADL,"IHQ GAD, LCR",N.D.,2276
LABIHQGADS,"IHQ GAD, sérum",N.D.,2277
LABIHQMDAL,"IHQ anti-NMDAR, LCR",N.D.,2278
LABIHQMDAS,"IHQ anti-NNDAR, sérum",N.D.,2279
LABIHQMOGL,"IHQ anti-MOG, LCR",N.D.,2280
LABIHQMOGS,"IHQ anti-MOG, sérum",N.D.,2281
LABIHQNMOL,"IHQ anti-NMO, LCR",N.D.,2282
LABIHQNMOS,"IHQ anti-NMO, sérum",N.D.,2283
LABIL10C,"Interleucina 10 (IL-10), líquido",N.D.,2284
LABIL10FC,"Interleucina 10 (IL-10), sérum",N.D.,2285
LABIL10S,IL-10,pg/mL,2286
LABIL10U,"Interleucina 10 ultrasensible, s",N.D.,2287
LABIL16C,"Interleucina 16 (IL-16), líquido",N.D.,2288
LABIL18,"Interleucina 18 (IL-18), sérum",N.D.,2289
LABIL18C,"Interleucina 18 (IL-18), líquido",N.D.,2290
LABIL18O,"Interleucina 18 (IL-18), orina",N.D.,2291
LABIL1BC,"Interleucina IL1 beta, líquido",pg/mL,2292
LABIL1BFC,"Interleucina 1 beta (IL-1-beta),",N.D.,2293
LABIL1BI,IL-1-beta,pg/mL,2294
LABIL1PO,Interleucina 1 beta porc,N.D.,2295
LABIL1RAL1,IL-1ra/IL-1F3,pg/mL,2296
LABIL28B,"Genotipación IL28B, sangre total",N.D.,2297
LABIL2RFC,Receptor de interleucina 2 (IL-2,N.D.,2298
LABIL6C,"Interleucina 6 (IL-6), líquido",pg/mL,2299
LABIL6COR,Interleucina 6,pg/mL,2300
LABIL6FC,"Interleucina 6 (IL-6), sérum",N.D.,2301
LABIL6I,IL-6,pg/mL,2302
LABIL6LA,"Interleucina 6 (IL-6), líquido a",pg/mL,2303
LABIL6P,"Polimorfisme IL6 174G/C, sangre",N.D.,2304
LABIL6R,Receptores de interleucina 6 (sI,N.D.,2305
LABIL6RN,"Interleucina 6 - RNA, sérum",N.D.,2306
LABIL6S,IL-6,pg/mL,2307
LABIL6U,"Interleucina 6 ultrasensible, sé",N.D.,2308
LABIL8C,"Interleucina 8 (IL-8), líquido",N.D.,2309
LABIL8FC,"Interleucina 8 (IL-8), sérum",N.D.,2310
LABIL8I,IL-8,pg/mL,2311
LABILEL,"Isoleucina (ILE), LCR",N.D.,2312
LABILEO,"Isoleucina (ILEU), orina",mmol/mol creat.,2313
LABILLIS,Bilirrubina directa,mg/dL,2314
LABIM10,Insulina [-1],N.D.,2315
LABIMATI,Imatinib,N.D.,2316
LABIMD,Interpretación estudios Immunida,N.D.,2317
LABIMEMA,Interpretación,N.D.,2318
LABINCRX,Inactivación del cromosoma X,N.D.,2319
LABINDINAL,"Indinavir, sang total LC/MS",µg/mL,2320
LABINDOX,Indoxil Sulfat sèrum,ng/mL,5040
LABINF8,Inhibidor del factor VIII -dosif,UB (Bethesda),2321
LABINFG,"Interferon Gamma, sérum",N.D.,2322
LABINHA,"Inhibina A, sérum",pg/mL,2323
LABINHB,"Inhibina B, sérum",ng/L,2324
LABINHDP,Inhibina A,pg/mL,2325
LABINHM,Inhibina A MoMs,N.D.,2326
LABINKT,iNKt (% de limfòcits T),%,2327
LABINRHD,"PT INR, sérum",N.D.,2328
LABINSAB,Anticuerpos anti-insulina humana,U/mL,2329
LABINSLB,"Insulina libre, sérum",N.D.,2330
LABINTEV,"Integrasa VIH, sangre total",N.D.,2331
LABINTLIE,Interpretación LIE,N.D.,2332
LABINTPA,Inhibidor del t-PA (PAI-1) funci,N.D.,2333
LABINTPLRN,Interpretación,N.D.,2334
LABIPRACMF,Aloanticuerpos (PRA) por Citomet,N.D.,2335
LABIPURIN,"Interpretación, orina",N.D.,2336
LABIRAK4,Gen de la Immunodeficiéncia IRAK,N.D.,2337
LABIRG,"Glucagón, plasma",pg/mL,2338
LABIRG100,Glucagón 100 mi.,N.D.,2339
LABIRG120,Glucagón 120 mi.,N.D.,2340
LABIRG30,Glucagón 30 mi.,N.D.,2341
LABIRG60,Glucagón 60 mi.,N.D.,2342
LABIRI,"Insulina (IRI), sérum",mU/L,2343
LABIRI1,Insulina 1 min,N.D.,2344
LABIRI10,Insulina 10 min,N.D.,2345
LABIRI120,Insulina 120 min,mU/L,2346
LABIRI150,Insulina 150 min,N.D.,2347
LABIRI180,Insulina 180 min,N.D.,2348
LABIRI2,Insulina 2 min,N.D.,2349
LABIRI20,Insulina 20 min,N.D.,2350
LABIRI240,Insulina 240 min,N.D.,2351
LABIRI3,Insulina 3 min,N.D.,2352
LABIRI30,Insulina 30 min,mU/L,2353
LABIRI300,Insulina 300 min,N.D.,2354
LABIRI360,Insulina 360 min,N.D.,2355
LABIRI40,Insulina 40 min,N.D.,2356
LABIRI5,Insulina 5 min,N.D.,2357
LABIRI50,Insulina 50 min,N.D.,2358
LABIRI6,Insulina 6 min,N.D.,2359
LABIRI60,Insulina 60 min,mU/L,2360
LABIRI90,Insulina 90 min,mU/L,2361
LABIRIB,Insulina basal,mU/L,2362
LABIRIC,"Insulina (IRI), sérum",N.D.,2363
LABIRIM10,Insulina -10 min,mU/L,2364
LABIRIM5,Insulina -5 min,mU/L,2365
LABIRIR,"Insulina sérum, rata",N.D.,2366
LABIRREBST,Anticuerpos irregulares [T. Coom,N.D.,2367
LABISAC,"IgE específica microarray ISAC,",N.D.,2368
LABISAC36,Comentario Perfil ISAC,N.D.,2369
LABISAVA,Isavuconazol,µg/ml,2370
LABISOCO,"Isocoproporfirina, heces",N.D.,2371
LABISOCOP,Isocoproporfirina,%,2372
LABISOIMMF,Comentario,N.D.,2373
LABITHR,Técnica empleada en el tipaje HL,N.D.,2374
LABITL1,Índice de testosterona libre,N.D.,2375
LABITL2,Índice de testosterona libre dir,N.D.,2376
LABITL3,Índice de testosterona libre dir,N.D.,2377
LABITL4,Índice de testosterona libre esp,N.D.,2378
LABITRAA,Itraconazol,µg/ml,2379
LABITSLS,Índice de testosterona libre esp,N.D.,2380
LABIUR,"Iodo, orina 24 h",N.D.,2381
LABIVS2,Mutación IVS2+1G>A - Leucodistro,N.D.,2382
LABIVS4,Mutación IVS4+5G - Gangliosidosi,N.D.,2383
LABIVS5,Mutación IVS5-7G--A - Enf. de Hu,N.D.,2384
LABIVS9,Mutación IVS9 + 1G---A  - Gangli,N.D.,2385
LABI_ECJRT,Interpretación,N.D.,2227
LABJO1,"Anticuerpos anti-Jo1, sérum",N.D.,2386
LABJO1A,"Anticuerpos anti-Jo1, sérum",N.D.,2387
LABJO1AN,Anticossos anti-Jo1 sèrum,FLU,5029
LABJO1DB,Ac miositis anti-Jo-1 (Dot-Blot),N.D.,2388
LABK208I,IgE Gal d 4 lisozima huevo(k208),N.D.,2389
LABK208II,IgE Gal d 4 lisozima huevo(k208),kU/L,2390
LABK215I,IgE Hev b 1 Latex (k215)-cl.,N.D.,2391
LABK215II,IgE Hev b 1 Latex (k215)-conc.,kU/L,2392
LABK217I,IgE Hev b 3 látex (k217)-cl.,N.D.,2393
LABK217II,IgE Hev b 3 látex (k217)-conc.,kU/L,2394
LABK218I,IgE Hev b 5 látex (k218)-cl.,N.D.,2395
LABK218II,IgE Hev b 5 látex (k218)-conc.,kU/L,2396
LABK219I,IgE Hev b 6.01 látex (k219)-cl.,N.D.,2397
LABK219II,IgE Hev b 6.01 látex (k219)-conc,N.D.,2398
LABK220I,IgE Hev b 6.02 látex (k220)-cl.,N.D.,2399
LABK220II,IgE Hev b 6.02 látex (k220)-conc,kU/L,2400
LABK221I,IgE Hev b 8 látex (k221)-cl.,N.D.,2401
LABK221II,IgE Hev b 8 látex (k221)-conc.,kU/L,2402
LABK222I,IgE Hev b 9 látex (k222)-cl.,N.D.,2403
LABK222II,IgE Hev b 9 látex (k222)-conc.,N.D.,2404
LABK224I,IgE Hev b 9 látex (k224)-cl.,N.D.,2405
LABK224II,IgE Hev b 9 látex (k224)-conc.,kU/L,2406
LABK75I,IgE Isocianato TDI (k75)-cl.,N.D.,2407
LABK75II,IgE Isocianato TDI (k75)-conc.,N.D.,2408
LABK76I,IgE Isocianato MDI (k76)-cl.,N.D.,2409
LABK76II,IgE Isocianato MDI (k76)-conc.,N.D.,2410
LABK77I,IgE Isocianato HDI (k77)-cl.,N.D.,2411
LABK77II,IgE Isocianato HDI (k77)-conc.,N.D.,2412
LABK78I,IgE Óxido de etileno (k78)-cl.,N.D.,2413
LABK78II,IgE Óxido de etileno (k78)-conc.,kU/L,2414
LABK821,IgE Látex (k82)-cl.,N.D.,2415
LABK822,IgE Látex (k82)-conc.,kU/L,2416
LABK84I,k84 - IgE semilla de girasol (cl,N.D.,2417
LABK84II,k84 - IgE semilla de girasol,kU/L,2418
LABK87I,IgE Alfa-amilasa (k87)-cl.,N.D.,2419
LABK87II,IgE Alfa-amilasa (k87)-conc.,N.D.,2420
LABKAO24,"Potasio, orina 24 h",N.D.,2421
LABKAPLF,Cadenas ligeras KAPPA libres,mg/L,2422
LABKCNJ,Diabetes neonatal Kir 6.2 [KCN11,N.D.,2423
LABKDSP,Diferencia % K,N.D.,2424
LABKETAM,Ketamina,N.D.,2425
LABKETOA,Ketoconazol,µg/ml,2426
LABKL6,KL-6 (Krebs von den Lungen 6),U/mL,2427
LABKLAM,"Potasio, líquido amniótico",N.D.,2428
LABKLQ,"Potasio, líquido",mEq/L,2429
LABKMSP,Concentración medida muestra K,mEq/L,2430
LABKOS,Excreción urinaria potasio,mg/24h,2431
LABKPGFP,6-ceto-prostaglandina F1a (6KPGF,N.D.,2432
LABKPGOR,6-ceto-prostaglandina F1a (6KPGF,N.D.,2433
LABKPLGA,"Cadenas pesadas IgA kappa, sérum",g/L,2434
LABKPLGG,"Cadenas pesadas IgG Kappa, sérum",g/L,2435
LABKPLMA,"Cadenas pesadas IgM Kappa, sérum",g/L,2436
LABKRASS,"K-RAS, sangre total",N.D.,2437
LABKSC,"Potasio, sangre capilar",mmol/L,2438
LABKSD,Ac miositis anti-Ks (Dot-Blot,,5036
LABKST,"Potasio, sangre arterial",mEq/L,2439
LABKSV,"Potasio, sangre venosa",mmol/L,2440
LABKTSP,Concentración teórica muestra K,mEq/L,2441
LABKU,"Ac miositis, anti-Ku (Dot-Blot)",N.D.,2442
LABKUD,Ac IgG anti-Ku (Dot-Blot),N.D.,2443
LABKV,"Potasio, venoso",mEq/L,2444
LABL114C,"1-14C-leucina, fibroblastos",N.D.,2445
LABL1MH,1-metil Histidina (LCR),µmol/L,2446
LABL3MH,3-metil Histidina (LCR),µmol/L,2447
LABL444P,"Mutación L444P - enf de Gaucher,",N.D.,2448
LABLA,"Anticuerpos anti-La o anti-SSB,",N.D.,2449
LABLAA,"Anticuerpos anti-La o anti-SSB,",N.D.,2450
LABLAAN,Anticossos anti-La o anti-SSB,,5026
LABLAARG,Ácido argininsuccínico (LCR),µmol/L,2451
LABLABAI,Ácido beta aminoisobutírico (LCR,µmol/L,2452
LABLABET,Labetolol,N.D.,2453
LABLAC1,Lactato 1 mi.,mg/dL,2454
LABLAC10,Lactato 10 mi.,mg/dL,2455
LABLAC2,Lactato 2 mi.,mg/dL,2456
LABLAC5,Lactato 5 mi.,mg/dL,2457
LABLACEPH,LA cephen (s),s,2458
LABLACEPHR,LA cephen RN (ratio),ratio,2459
LABLACEPLR,LA cephen LS RN (ratio),ratio,2460
LABLACEPLS,LA cephen LS (s),s,2461
LABLACEPRR,LA cephen ratio (ratio),ratio,2462
LABLACERNR,LA cephen ratio Norm (ratio),ratio,2463
LABLACONFS,LA confirmation (s),s,2464
LABLACONMS,LA confirmación Mezcla (s),s,2465
LABLACORR,LA confirmation ratio (ratio),ratio,2466
LABLACSA,"Lactato, sangre arterial",mg/dL,2467
LABLACSV,"Lactato, sangre venosa",mg/dL,2468
LABLACTC,"Lactato, sangre capilar",mg/dL,2469
LABLACTO,Anticuerpos antilactoferrina (AN,N.D.,2470
LABLACTP,"Lactato, plasma",mg/dL,2471
LABLADS,,N.D.,2472
LABLAGAB,Ácido gamma amino butirico (LCR),µmol/L,2473
LABLAISL,Allo-Isoleucina (LCR),µmol/L,2474
LABLALEV,Ácido aminolevulínico (LCR),µmol/L,2475
LABLAMIN,Ácido alfa-aminoadípico (LCR),µmol/L,2476
LABLAMLF,Cadenas ligeras Lambda libre,mg/L,2477
LABLAMMS,Lamivudina,N.D.,2478
LABLANORRR,LA Norm. ratio (ratio),ratio,2479
LABLANS,Anserina (LCR),µmol/L,2480
LABLARMR,LA ratio Mezcla (ratio),ratio,2481
LABLARR,LA ratio (ratio),ratio,2482
LABLASCRES,LA screening (s),s,2483
LABLASCRRR,LA screening ratio (ratio),ratio,2484
LABLBALA,beta-Alanina (LCR),µmol/L,2485
LABLBCD21,Linfocitos B CD21 low (CD38lowCD,%,2486
LABLBCD21T,Linfocitos B CD21 low (CD38lowCD,N.D.,2487
LABLBCI,B memoria cambio de isotipo (IgD,%,2488
LABLBCIT,Linfocitos B cambio de isotipo (,N.D.,2489
LABLBM,B marginales (IgD+CD27+),%,2490
LABLBMT,Linfocitos B marginales (IgD+CD2,N.D.,2491
LABLBRBG,Ac IgG Borrelia burgdorferi (Lym,N.D.,2492
LABLBRBM,Ac IgM Borrelia burgdorferi (Lym,N.D.,2493
LABLC,Cariotipo en líquido amniótico,N.D.,2494
LABLC1,Ac IgG anti-LC1(DotBlot),N.D.,2495
LABLCALA,alfa-Alanina (LCR),µmol/L,2496
LABLCARG,Arginina (LCR),µmol/L,2497
LABLCARN,Carnosina (LCR),µmol/L,2498
LABLCASLC,Ácido aspártico (LCR),µmol/L,2499
LABLCASN,Asparagina (LCR),µmol/L,2500
LABLCASPG,Aspartilglucosamina (LCR),µmol/L,2501
LABLCCIT,Citrulina (LCR),µmol/L,2502
LABLCCYS,Lisina (LCR),N.D.,2503
LABLCCYS2,Cistina (LCR),µmol/L,2504
LABLCGLN,Glutamina (LCR),µmol/L,2505
LABLCGLU,Ácido glutámico (LCR),µmol/L,2506
LABLCGLY,Glicina (LCR),µmol/L,2507
LABLCHIS,Histidina (LCR),µmol/L,2508
LABLCHPRO,Hidroxiprolina (LCR),µmol/L,2509
LABLCILE,Isoleucina (LCR),µmol/L,2510
LABLCIST,Cistationina (LCR),µmol/L,2511
LABLCLEU,Leucina (LCR),µmol/L,2512
LABLCLYS,Lisina (LCR),µmol/L,2513
LABLCMET,Metionina (LCR),µmol/L,2514
LABLCOQ10C,"Coenzima Q10 en linfocitos, rela",N.D.,2515
LABLCOQ10P,"Coenzima Q10 en linfocitos, rela",N.D.,2516
LABLCOQCOM,Comentario,N.D.,2517
LABLCORN,Ornitina (LCR),µmol/L,2518
LABLCPHE,Fenilalanina (LCR),µmol/L,2519
LABLCPRO,Prolina (LCR),µmol/L,2520
LABLCSER,Serina (LCR),µmol/L,2521
LABLCTAU,Taurina (LCR),µmol/L,2522
LABLCTHR,Treonina (LCR),µmol/L,2523
LABLCTRP,Triptófano (LCR),µmol/L,2524
LABLCTYR,Tirosina (LCR),µmol/L,2525
LABLCVVI,Logaritmo 10 carga viral VIH I,N.D.,2526
LABLDHE,Láctico Deshidrogenasa Eritrocit,UI/gHb,2527
LABLDHL,"LDH, líquidos",N.D.,2528
LABLDHLQ,"LDH, líquidos",N.D.,2529
LABLDLD,Colesterol LDL directo,mg/dL,2530
LABLEAGAL,"Alfa-Galactosidasa A, leucocitos",N.D.,2531
LABLEAGU,"N-Aspartilglucosaminidasa, leuco",nmol/h/mg prot,2532
LABLEARSA,"Arilsulfatasa A, leucocitos",nmol/17h/mg prot,2533
LABLEGLUCO,"Beta-Glucocerebrosidasa, leucoci",nmol/h/mg prot,2534
LABLEID,"Factor V Leiden -mutación, sangr",N.D.,2535
LABLELIPOL,"Oleato lipasa, leucocitos",nmol/h/mg prot,2536
LABLELIPPA,"Palmitato lipasa, leucocitos",nmol/h/mg prot,2537
LABLEMS,Anticuerpos anti-canales de calc,pmol/L,2538
LABLEPTG,"Leptospira, serologia IgG",N.D.,2539
LABLEPTI,"Leptina, sérum",ng/mL,2540
LABLEPTL,"Leptospira, PCR, LCR",N.D.,2541
LABLEPTM,"Leptospira, serologia IgM",N.D.,2542
LABLEPTO,"Leptospira, PCR, orina",N.D.,2543
LABLEPTS,"Leptospira, PCR, sangre total",N.D.,2544
LABLESM,"Esfingomielinasa, leucocitos",N.D.,2545
LABLETAN,Etanolamina (LCR),µmol/L,2546
LABLEUCLAM,"Leucocitos, líquido amniótico",N.D.,2547
LABLEUCLAS,"Leucocitos, líquido ascítico",N.D.,2548
LABLEUCLCR,"Leucocitos, LCR",N.D.,2549
LABLEUCLPE,"Leucocitos, líquido pericárdico",N.D.,2550
LABLEUCLPL,"Leucocitos, líquido pleural",/mm³,2551
LABLEUL,"Leucocitos, líquidos",N.D.,2552
LABLEULAR,"Leucocitos, líquido articular",N.D.,2553
LABLEULL,"Leucina (LEU), LCR",N.D.,2554
LABLEUOR,"Leucina (LEU), orina",mmol/mol creat.,2555
LABLEUSC,Leucòcits sang de cordó,10^9/L,5056
LABLEV,"Levaduras, sedimento",N.D.,2556
LABLEVET,"Levetiracetam, sèrum",N.D.,2557
LABLEWIS,Lewis,N.D.,2558
LABLEXTE,Limfòcits T extenuats (exhaust,N.D.,2559
LABLEXTE19,Limfòcits T extenuats (exhaust,N.D.,2560
LABLFAGLU,"Alfa-1,4-glucosidasa, limfòcit",N.D.,2561
LABLFERR,Relació RsTRF/log Ferritina,N.D.,4584
LABLFOS,Fosfoserina (LCR),N.D.,2562
LABLFTCACO,Interpretació,N.D.,2563
LABLGLCTO,"Galactocerebrosidasa, leucòcit",nmol/17h/mg prot,2564
LABLH,"Luteotropina (LH),sèrum",N.D.,2565
LABLHCY,Homocisteína (LCR),N.D.,2566
LABLHD1,"LH [1],",µmol/L,4585
